Year,Series_ID,Series,Unit,Value
2000,4370,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,66.38
2001,4370,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,63.44
2002,4370,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,62.49
2003,4370,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,60.4
2004,4370,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,57.48
2005,4370,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,58.56
2006,4370,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,58.86
2007,4370,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,57.13
2008,4370,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,56.93
2009,4370,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,56.02
2010,4370,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,55.25
2011,4370,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,54.73
2012,4370,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,55.45
2013,4370,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,58.34
2014,4370,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,56.93
2015,4370,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,53.28
2016,4370,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,52.72
2017,4370,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,52.52
2018,4370,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,51.19
2019,4370,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,51.09
2020,4370,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,51.39
2021,4370,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,51.62
2022,4370,"Renewable energy share of total final energy consumption, renewables (SDG)",% of total final energy consumption,50.78
