Year,Series_ID,Series,Unit,Value
2000,3867,"Official development assistance grants for poverty reduction, by recipient countries",% of GNI,3.24217
2001,3867,"Official development assistance grants for poverty reduction, by recipient countries",% of GNI,0.80966
2002,3867,"Official development assistance grants for poverty reduction, by recipient countries",% of GNI,2.39519
2003,3867,"Official development assistance grants for poverty reduction, by recipient countries",% of GNI,1.93247
2004,3867,"Official development assistance grants for poverty reduction, by recipient countries",% of GNI,1.46788
2005,3867,"Official development assistance grants for poverty reduction, by recipient countries",% of GNI,1.43037
2006,3867,"Official development assistance grants for poverty reduction, by recipient countries",% of GNI,0.49928
2007,3867,"Official development assistance grants for poverty reduction, by recipient countries",% of GNI,0.46313
2008,3867,"Official development assistance grants for poverty reduction, by recipient countries",% of GNI,0.45907
2009,3867,"Official development assistance grants for poverty reduction, by recipient countries",% of GNI,0.76777
2010,3867,"Official development assistance grants for poverty reduction, by recipient countries",% of GNI,0.55726
2011,3867,"Official development assistance grants for poverty reduction, by recipient countries",% of GNI,0.57926
2012,3867,"Official development assistance grants for poverty reduction, by recipient countries",% of GNI,0.29867
2013,3867,"Official development assistance grants for poverty reduction, by recipient countries",% of GNI,0.22213
2014,3867,"Official development assistance grants for poverty reduction, by recipient countries",% of GNI,0.14014
2015,3867,"Official development assistance grants for poverty reduction, by recipient countries",% of GNI,0.34547
2016,3867,"Official development assistance grants for poverty reduction, by recipient countries",% of GNI,0.14507
2017,3867,"Official development assistance grants for poverty reduction, by recipient countries",% of GNI,0.30051
2018,3867,"Official development assistance grants for poverty reduction, by recipient countries",% of GNI,0.32818
2019,3867,"Official development assistance grants for poverty reduction, by recipient countries",% of GNI,0.6217
2020,3867,"Official development assistance grants for poverty reduction, by recipient countries",% of GNI,0.52767
2021,3867,"Official development assistance grants for poverty reduction, by recipient countries",% of GNI,0.97853
2022,3867,"Official development assistance grants for poverty reduction, by recipient countries",% of GNI,0.41383
